"","Var1","Freq"
"301","PKN2",3
"302","PKN3",0
"303","PLK1",1
"304","PLK2",0
"305","PLK3",1
"306","PLK4",0
"307","PNCK",3
"308","PRKAA1",1
"309","PRKAA2",2
"310","PRKACA",0
"311","PRKACB",3
"312","PRKACG",5
"313","PRKCA",4
"314","PRKCB",2
"315","PRKCD",0
"316","PRKCE",0
"317","PRKCG",3
"318","PRKCH",0
"319","PRKCI",3
"320","PRKCQ",3
"321","PRKCZ",1
"322","PRKD1",1
"323","PRKD2",2
"324","PRKD3",1
"325","PRKDC",0
"326","PRKG1",6
"327","PRKG2",2
"328","PRKX",1
"329","PRPF4B",0
"330","PSKH1",1
"331","PTK2",0
"332","PTK2B",1
"333","PTK6",1
"334","RAF1",0
"335","RET",3
"336","RIPK1",0
"337","RIPK2",1
"338","RIPK3",2
"339","RIPK4",1
"340","RNASEL",0
"341","ROCK1",2
"342","ROCK2",1
"343","ROR1",2
"344","ROR2",3
"345","ROS1",3
"346","RPS6KA1",0
"347","RPS6KA2",0
"348","RPS6KA3",0
"349","RPS6KA4",0
"350","RPS6KA5",0
"351","RPS6KA6",0
"352","RPS6KB1",0
"353","RPS6KB2",0
"354","RYK",0
"355","SBK1",1
"356","SBK2",0
"357","SGK1",0
"358","SGK2",2
"359","SGK3",2
"360","SGK494",0
"361","SIK1",1
"362","SIK2",0
"363","SIK3",0
"364","SLK",0
"365","SMG1",0
"366","SNRK",0
"367","SPEG",0
"368","SRC",4
"369","SRMS",2
"370","SRPK1",0
"371","SRPK2",0
"372","SRPK3",0
"373","STK10",2
"374","STK11",8
"375","STK16",2
"376","STK17A",1
"377","STK17B",2
"378","STK24",3
"379","STK25",1
"380","STK26",2
"381","STK3",3
"382","STK32A",0
"383","STK32B",5
"384","STK32C",0
"385","STK33",0
"386","STK35",1
"387","STK36",0
"388","STK38",0
"389","STK38L",1
"390","STK39",0
"391","STK4",1
"392","SYK",0
"393","TAOK1",2
"394","TAOK2",3
"395","TAOK3",1
"396","TBK1",0
"397","TEC",0
"398","TEK",0
"399","TESK1",2
"400","TESK2",1
"401","TGFBR1",6
"402","TGFBR2",4
"403","TIE1",4
"404","TLK1",0
"405","TLK2",0
"406","TNIK",5
"407","TNK1",0
"408","TNK2",1
"409","TNNI3K",0
"410","TRIO",2
"411","TSSK1B",4
"412","TSSK2",1
"413","TSSK3",1
"414","TSSK4",1
"415","TSSK6",2
"416","TTBK1",1
"417","TTBK2",2
"418","TTK",6
"419","TXK",1
"420","TYK2",1
"421","TYRO3",0
"422","UHMK1",1
"423","ULK1",4
"424","ULK2",0
"425","ULK3",0
"426","VRK1",1
"427","VRK2",3
"428","WEE1",2
"429","WEE2",2
"430","YES1",2
"431","ZAK",0
"432","ZAP70",4
